sentence,label
"ASXL1 is associated with Deafness, X-Linked 1",0
FGF8 is associated with Craniofacial Abnormalities,1
ITGA2B is associated with Joubert Syndrome 7,0
MIR215 is associated with Carotid Artery Diseases,0
APOBEC3B is associated with Head and Neck Neoplasms,1
CD40LG is associated with Body Weight,0
EGFR is associated with LETHAL CONGENITAL CONTRACTURE SYNDROME 4,0
POLG is associated with MITOCHONDRIAL DNA DEPLETION SYNDROME 4A (ALPERS TYPE),1
ATP8B1 is associated with Lethargy,0
"PDLIM4 is associated with Neuronopathy, Distal Hereditary Motor, Type Viib",0
B2M is associated with Varicose Veins,0
MIR1271 is associated with Pitt-Hopkins syndrome,0
CSF3 is associated with Muscle Weakness,1
FADS2 is associated with Lipidoses,1
"LRRC46 is associated with STRIATAL DEGENERATION, AUTOSOMAL DOMINANT 2",0
"F2 is associated with Carcinoma, Hepatocellular",1
F2 is associated with Myocardial Infarction,1
MYOT is associated with Myotilinopathy,1
AGER is associated with Peripheral Nerve Injuries,1
"CROT is associated with LODDER-MERLA SYNDROME, TYPE 2, WITH DEVELOPMENTAL DELAY AND WITH OR WITHOUT CARDIAC ARRHYTHMIA",0
"CYP2A6 is associated with Male Pseudohermaphroditism due to Deficiency of Testicular 17,20-Desmolase",0
CAT is associated with Fatty Liver,1
"IGFBP3 is associated with Cutis laxa, recessive",0
"CCL19 is associated with CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE F",0
ACVR1 is associated with PALMOPLANTAR KERATODERMA AND WOOLLY HAIR,0
KRT14 is associated with Emphysema,0
"CBS is associated with Diabetes Mellitus, Type 2",1
"CCL8 is associated with Influenza, Human",1
OXT is associated with Drug Hypersensitivity Syndrome,0
"ERCC6 is associated with TOOTH AGENESIS, SELECTIVE, 9",0
"CSF1R is associated with Liver Cirrhosis, Experimental",1
"BAD is associated with Ischemic Attack, Transient",1
BCL10 is associated with IMMUNODEFICIENCY 37,1
"MTOR is associated with Mental retardation, X-linked, with cerebellar hypoplasia and distinctive facial appearance",0
PICK1 is associated with Cantu syndrome,0
ALK is associated with Hyperparathyroidism,0
HTR2A is associated with Obsessive-Compulsive Disorder,1
"LRAT is associated with EFAVIRENZ, POOR METABOLISM OF",0
"MFGE8 is associated with PARKINSON DISEASE 8, AUTOSOMAL DOMINANT",0
MBP is associated with Inflammation,1
APP is associated with FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 2,0
ACOT1 is associated with IMMUNOSKELETAL DYSPLASIA WITH NEURODEVELOPMENTAL ABNORMALITIES,0
KLHDC10 is associated with Breast Neoplasms,1
"LIM2 is associated with CATARACT 19, MULTIPLE TYPES",1
ABCB6 is associated with LEUKODYSTROPHY AND ACQUIRED MICROCEPHALY WITH OR WITHOUT DYSTONIA,0
RGN is associated with Sclerosteosis,0
"RELA is associated with Amnesia, Retrograde",0
"LDHA is associated with Disease Models, Animal",1
"CXCL9 is associated with CARDIOMYOPATHY, DILATED, 1KK",0
"ACE2 is associated with NEPHROTIC SYNDROME, TYPE 13",0
ETV1 is associated with Prostatic Neoplasms,1
"MIR192 is associated with Limb-girdle muscular dystrophy, type 2B",0
"CSF3R is associated with Neutrophilia, Hereditary",1
IDH1 is associated with Cholangiocarcinoma,1
MAPK3 is associated with HOUGE-JANSSENS SYNDROME 2,0
HRH2 is associated with Orofaciodigital syndrome 5,0
HRAS is associated with Nemaline Myopathy 2,0
KRAS is associated with Costello Syndrome,1
DNMT3A is associated with PEROXISOME BIOGENESIS DISORDER 2A (ZELLWEGER),0
"ADCY5 is associated with ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 8",0
"PJVK is associated with Deafness, Autosomal Recessive 59",1
PTGS2 is associated with Carcinoma,1
CFL1 is associated with Neoplasm Metastasis,1
PNP is associated with Chemical and Drug Induced Liver Injury,1
"MPZ is associated with Osteoarthritis, Spine",0
JAK2 is associated with Dysostoses,0
CTF1 is associated with Cardiomegaly,1
"IRAK1 is associated with CATARACT 15, MULTIPLE TYPES",0
"ATOX1 is associated with Hepatitis, Chronic",1
FAF2 is associated with Prostatic Neoplasms,1
CDH1 is associated with Prostatic Intraepithelial Neoplasia,1
DNMT1 is associated with Cutis Laxa,0
DOCK6 is associated with Adams Oliver syndrome,1
FGG is associated with Spondylo-Megaepiphyseal-Metaphyseal Dysplasia,0
CSF2 is associated with Glycogen Storage Disease Type IIb,0
NSMF is associated with Idiopathic Hypogonadotropic Hypogonadism,1
OXT is associated with Spasm,1
LHX3 is associated with Pyelonephritis,0
"MIR17HG is associated with ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 4",0
PMP22 is associated with Ehlers-Danlos syndrome type 2,0
IFNA2 is associated with Oliver-McFarlane syndrome,0
HDC is associated with Osteopetrosis autosomal dominant type 1,0
EPO is associated with Hypertension,1
"EPHX1 is associated with Mammary Neoplasms, Experimental",1
BAX is associated with Polycystic Ovary Syndrome,1
GNE is associated with PROSTATE CANCER/BRAIN CANCER SUSCEPTIBILITY,0
"CLDN5 is associated with Amyotrophic Lateral Sclerosis 6, Autosomal Recessive",0
NT5C2 is associated with Pituitary Neoplasms,0
POMC is associated with Adenomatous Polyposis Coli,0
POMC is associated with Cardiomegaly,1
"CD209 is associated with Cholestasis, progressive familial intrahepatic 2",0
"CYP11B1 is associated with SPASTIC PARAPLEGIA 45, AUTOSOMAL RECESSIVE",0
IL1R2 is associated with Pneumonia,1
MAOA is associated with Muscular Diseases,1
OGN is associated with KBG syndrome,0
IL10 is associated with Witkop syndrome,0
IL3 is associated with Non-alcoholic Fatty Liver Disease,1
FTCD is associated with Burkitt Lymphoma,1
APEX1 is associated with Heart Diseases,1
CASP3 is associated with Myocardial Reperfusion Injury,1
IGF1R is associated with Alzheimer Disease,1
KST is associated with Parkinson Disease,1
"DYNLL1 is associated with Atrial Fibrillation, Familial, 4",0
"CTLA4 is associated with Leukemia-Lymphoma, Adult T-Cell",1
NR4A3 is associated with Acute Coronary Syndrome,0
IPO4 is associated with Adenocarcinoma of Lung,1
"PLAU is associated with INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 57",0
POU3F2 is associated with Bipolar Disorder,1
"CYP19A1 is associated with CHONDRODYSPLASIA WITH PLATYSPONDYLY, DISTINCTIVE BRACHYDACTYLY, HYDROCEPHALY, AND MICROPHTHALMIA",0
ALX4 is associated with Craniofacial Abnormalities,1
"HSP90AB1 is associated with Schizophrenia, Paranoid",0
FGF18 is associated with Polycystic Ovary Syndrome,1
"RTP4 is associated with Pemphigoid, Bullous",0
HRC is associated with Cardiomegaly,1
GDF1 is associated with Neurocutaneous melanosis,0
IFNA2 is associated with Cushing's symphalangism,0
"IL1A is associated with CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 26",0
ID2 is associated with Astrocytoma,0
RASGRP2 is associated with Hyperphosphatemia,0
JPH3 is associated with Epidermolysis bullosa simplex with mottled pigmentation,0
"CKAP2L is associated with Carcinoma, Hepatocellular",1
PIK3CA is associated with Hyperplasia,1
"CCNE1 is associated with Aortic Aneurysm, Abdominal",0
"IL6 is associated with DEAFNESS, AUTOSOMAL DOMINANT 50",0
"A2M is associated with Carcinoma, Hepatocellular",1
CCAT1 is associated with Chromosome 5q Deletion Syndrome,0
"CAT is associated with Kidney Failure, Chronic",1
DUSP5 is associated with Hypertension,1
APOB is associated with Celiac Disease,1
CSF3 is associated with Dent disease 1,0
RCAN2 is associated with Phencyclidine Abuse,0
MTHFR is associated with Orofaciodigital syndrome 5,0
AGT is associated with Cardiovascular Abnormalities,1
PENK is associated with Amyotrophic lateral sclerosis 1,1
RIGI is associated with Anovulation,0
PSME3 is associated with HIV Infections,1
PEPD is associated with Hepatomegaly,1
ACE2 is associated with Respiratory Distress Syndrome,1
ELOVL5 is associated with Spinocerebellar Ataxias,1
MEF2C is associated with Megaloblastic Anemia due to Dihydrofolate Reductase Deficiency,0
MAP2K5 is associated with LEOPARD Syndrome,0
FTO is associated with Silicosis,1
PLA2G4A is associated with Lateral Medullary Syndrome,0
CTLA4 is associated with Stiff Skin Syndrome,0
GRIN2A is associated with Tinnitus,0
PTEN is associated with Lipoma,1
"MNT is associated with AUTOINFLAMMATION AND AUTOIMMUNITY, SYSTEMIC, WITH IMMUNE DYSREGULATION",0
"IL12B is associated with Liver Cirrhosis, Biliary",1
IGF1 is associated with Adams Oliver syndrome,0
NEURL1 is associated with Gait Ataxia,0
ALCAM is associated with Carcinoma,1
KYNU is associated with Inflammation,1
"ARHGAP11A is associated with Molybdenum Cofactor Deficiency, Complementation Group C",0
IGF1 is associated with Acromegaly,1
MIR320A is associated with Fatty Liver,1
MT1 is associated with Tongue Neoplasms,1
POMT2 is associated with Lacrimoauriculodentodigital syndrome,0
CLDN3 is associated with Stomach Neoplasms,1
PCNA is associated with Hepatoblastoma,1
"FOXO3 is associated with Carcinoma, Non-Small-Cell Lung",1
GSTM1 is associated with Non-alcoholic Fatty Liver Disease,1
ATP6AP2 is associated with Carcinoma in Situ,0
KCNN2 is associated with Heart Arrest,1
HMOX2 is associated with Cerebral Hemorrhage,1
LTBP3 is associated with Cleft Palate,0
GJB2 is associated with DIAMOND-BLACKFAN ANEMIA 16,0
ANG is associated with Acute-Phase Reaction,1
BIRC5 is associated with Alveolar Bone Loss,0
"IGF2 is associated with Abortion, Spontaneous",1
"KCNJ1 is associated with SPASTIC PARAPLEGIA 54, AUTOSOMAL RECESSIVE",0
CYP4A11 is associated with Rapadilino syndrome,0
PRTN3 is associated with Granulomatosis with Polyangiitis,1
"DTX1 is associated with Larsen syndrome, dominant type",0
CNPY2 is associated with Stomach Neoplasms,1
"COL4A1 is associated with Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps",1
JMJD6 is associated with Ovarian Neoplasms,1
CLEC7A is associated with Aspergillosis,1
ACTB is associated with Coloboma,1
ACAN is associated with SHORT STATURE AND ADVANCED BONE AGE WITH OR WITHOUT EARLY-ONSET OSTEOARTHRITIS AND/OR OSTEOCHONDRITIS DISSECANS,1
"IL6 is associated with Pituitary Hormone Deficiency, Combined, 4",0
"RETN is associated with Cholestasis, progressive familial intrahepatic 1",0
ALB is associated with Oligomenorrhea,0
HOXD1 is associated with Ovarian Neoplasms,1
"CLPTM1L is associated with Leukemia, Lymphoid",1
PTCHD1 is associated with Autism Spectrum Disorder,1
"FBLN5 is associated with PARKINSON DISEASE 22, AUTOSOMAL DOMINANT",0
EPOR is associated with Neoplasm Metastasis,1
"CAMK2B is associated with BILE ACID SYNTHESIS DEFECT, CONGENITAL, 5",0
IL1R2 is associated with Arsenic Poisoning,0
AURKA is associated with Colorectal Neoplasms,1
"CAT is associated with CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION",0
"NOS2 is associated with NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE VI",0
APP is associated with Feminization,0
"MIR656 is associated with EPILEPSY, NOCTURNAL FRONTAL LOBE, 5",0
"AFP is associated with Mammary Neoplasms, Experimental",1
AKR1C2 is associated with Disorders of Sex Development,1
PAX3 is associated with Deafness,1
RAPGEF3 is associated with Klippel-Feil Syndrome,0
"MSLN is associated with Carcinoma, Pancreatic Ductal",1
"MIR127 is associated with Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Dominant, 5",0
"DOK1 is associated with Microtia, Hearing Impairment, And Cleft Palate",0
PTGS2 is associated with Asphyxia Neonatorum,1
CIC is associated with Spinocerebellar Ataxias,1
"PON1 is associated with ANEMIA, CONGENITAL, NONSPHEROCYTIC HEMOLYTIC, 1",0
"PDGFB is associated with PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 1",0
BIRC2 is associated with Leukemia,1
DNMT1 is associated with Hearing Loss,1
"PTGER1 is associated with Carcinoma, Ductal, Breast",1
FOXC1 is associated with Opsoclonus-Myoclonus Syndrome,0
"MIR142 is associated with Disorder of Sex Development, 46,XY",0
ADIPOQ is associated with Insulin Resistance,1
RXRA is associated with Prostatic Neoplasms,1
APCS is associated with COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 16,0
CRP is associated with Teratozoospermia,0
"ATP5IF1 is associated with Hydrocephalus, Normal Pressure",0
FLNA is associated with Adrenocortical Carcinoma,0
CRP is associated with Inflammation,0
KDM3B is associated with Heavy Metal Poisoning,1
"ARHGAP9 is associated with Urinary Bladder, Overactive",0
CSF3 is associated with Thrombocytopenia,1
MMP20 is associated with Nephrogenic Fibrosing Dermopathy,0
IL1B is associated with Metabolic Diseases,0
FARS2 is associated with COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 14,1
"IL1B is associated with Aortic Aneurysm, Abdominal",0
KIF3C is associated with Amyotrophic lateral sclerosis 1,1
NCOA1 is associated with Brachydactyly type A2,0
OXTR is associated with Schizophrenia,1
HBB is associated with Heinz Body Anemias,1
"FAS is associated with Deafness, Autosomal Dominant 28",0
CKM is associated with Myocardial Infarction,1
AVP is associated with Cardiomyopathies,1
PEPD is associated with Respiratory Tract Diseases,1
NAA10 is associated with Adenocarcinoma of Lung,1
MYLK is associated with Glaucoma,1
"ALB is associated with LYMPHEDEMA, PRIMARY, WITH MYELODYSPLASIA",0
RAF1 is associated with Hyperalgesia,1
BRAF is associated with Liver Neoplasms,1
"DNAJB6 is associated with Muscular Dystrophy, Limb-Girdle, Type 1E",1
MTHFR is associated with Brain Ischemia,1
"PDCD1 is associated with Hypertrophy, Left Ventricular",0
FGF2 is associated with Brain Injuries,1
KMT2D is associated with Urinary Bladder Neoplasms,1
PAX3 is associated with Neural Tube Defects,1
FLG is associated with Eczema,1
NPHS2 is associated with Nephrotic Syndrome,1
ADAM9 is associated with Prostatic Neoplasms,1
"AP2S1 is associated with Familial benign hypercalcemia, type 3",1
RNF168 is associated with Disease Progression,1
CIITA is associated with Retinitis Pigmentosa 12,0
"IL1B is associated with Arthritis, Rheumatoid",1
FGF1 is associated with Hypotension,1
MIR942 is associated with KBG syndrome,0
MSN is associated with Anisometropia,0
LRP5 is associated with Tuberous Sclerosis 2,0
GPER1 is associated with Leiomyoma,1
MSX2 is associated with Parietal Foramina,1
ANKK1 is associated with Language Disorders,1
"PTEN is associated with Meningioma, familial",1
EP300 is associated with Small Cell Lung Carcinoma,1
RETREG1 is associated with Hypopituitarism,0
"CD19 is associated with FANCONI ANEMIA, COMPLEMENTATION GROUP O",0
ENO1 is associated with Osteoarthritis,1
ADAMTS9 is associated with Leber Congenital Amaurosis,0
MIR130B is associated with Neoplasm Metastasis,1
"IL13 is associated with Arthritis, Experimental",1
INSR is associated with Autism Spectrum Disorder,1
IL12A is associated with Aicardi-Goutieres syndrome,0
ALDH1B1 is associated with Hepatomegaly,1
MIR21 is associated with LEFT VENTRICULAR NONCOMPACTION 1,0
"C1QC is associated with Fatty Liver, Alcoholic",1
HMOX1 is associated with SPERMATOGENIC FAILURE 11,0
"DSPP is associated with Slowed Nerve Conduction Velocity, Autosomal Dominant",0
"LAMC2 is associated with Carcinoma, Non-Small-Cell Lung",1
AFF3 is associated with Teratozoospermia,0
CYP1A1 is associated with Chemical and Drug Induced Liver Injury,1
